Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 1, Class: spoon,  Coordinates: (425, 569, 592, 629), Centroids: 508.5
Tracker ID: 3, Class: scissors,  Coordinates: (212, 563, 424, 606), Centroids: 318.0
Tracker ID: 1, Class: spoon,  Coordinates: (425, 569, 592, 629), Centroids: 508.5
Tracker ID: 3, Class: scissors,  Coordinates: (212, 563, 424, 606), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (585, 178, 837, 642), Centroids: 711.0
Tracker ID: 1, Class: spoon,  Coordinates: (425, 568, 591, 628), Centroids: 508.0
Tracker ID: 1, Class: spoon,  Coordinates: (425, 568, 591, 628), Centroids: 508.0
Tracker ID: 4, Class: person,  Coordinates: (574, 172, 831, 643), Centroids: 702.5
Tracker ID: 1, Class: spoon,  Coordinates: (425, 568, 591, 628), Centroids: 508.0
Tracker ID: 1, Class: spoon,  Coordinates: (425, 568, 591, 628), Centroids: 508.0
Tracker ID: 4, Class: person,  Coordinates: (569, 169, 831, 644), Centroids: 700.0
Tracker ID: 1, Class: spoon,  Coordinates: (425, 568, 591, 628), Centroids: 508.0
Tracker ID: 4, Class: person,  Coordinates: (569, 169, 831, 644), Centroids: 700.0
Tracker ID: 5, Class: knife,  Coordinates: (266, 508, 467, 536), Centroids: 366.5
Tracker ID: 1, Class: spoon,  Coordinates: (409, 555, 608, 628), Centroids: 508.5
Tracker ID: 1, Class: spoon,  Coordinates: (409, 555, 608, 628), Centroids: 508.5
Tracker ID: 4, Class: person,  Coordinates: (561, 159, 832, 644), Centroids: 696.5
Tracker ID: 1, Class: spoon,  Coordinates: (409, 555, 608, 628), Centroids: 508.5
Tracker ID: 4, Class: person,  Coordinates: (561, 159, 832, 644), Centroids: 696.5
Tracker ID: 5, Class: knife,  Coordinates: (266, 508, 467, 536), Centroids: 366.5
Tracker ID: 1, Class: spoon,  Coordinates: (413, 562, 592, 629), Centroids: 502.5
Tracker ID: 1, Class: spoon,  Coordinates: (413, 562, 592, 629), Centroids: 502.5
Tracker ID: 4, Class: person,  Coordinates: (555, 155, 831, 644), Centroids: 693.0
Tracker ID: 1, Class: spoon,  Coordinates: (413, 562, 592, 629), Centroids: 502.5
Tracker ID: 4, Class: person,  Coordinates: (555, 155, 831, 644), Centroids: 693.0
Tracker ID: 5, Class: knife,  Coordinates: (269, 508, 465, 536), Centroids: 367.0
Tracker ID: 1, Class: spoon,  Coordinates: (414, 565, 585, 629), Centroids: 499.5
Tracker ID: 1, Class: spoon,  Coordinates: (414, 565, 585, 629), Centroids: 499.5
Tracker ID: 4, Class: person,  Coordinates: (552, 154, 832, 644), Centroids: 692.0
Tracker ID: 1, Class: spoon,  Coordinates: (414, 565, 585, 629), Centroids: 499.5
Tracker ID: 4, Class: person,  Coordinates: (552, 154, 832, 644), Centroids: 692.0
Tracker ID: 5, Class: knife,  Coordinates: (270, 508, 464, 535), Centroids: 367.0
Tracker ID: 1, Class: spoon,  Coordinates: (416, 566, 580, 629), Centroids: 498.0
Tracker ID: 1, Class: spoon,  Coordinates: (416, 566, 580, 629), Centroids: 498.0
Tracker ID: 4, Class: person,  Coordinates: (551, 156, 832, 642), Centroids: 691.5
Tracker ID: 1, Class: spoon,  Coordinates: (416, 566, 580, 629), Centroids: 498.0
Tracker ID: 4, Class: person,  Coordinates: (551, 156, 832, 642), Centroids: 691.5
Tracker ID: 5, Class: knife,  Coordinates: (266, 508, 470, 536), Centroids: 368.0
Tracker ID: 1, Class: spoon,  Coordinates: (416, 568, 577, 629), Centroids: 496.5
Tracker ID: 1, Class: spoon,  Coordinates: (416, 568, 577, 629), Centroids: 496.5
Tracker ID: 4, Class: person,  Coordinates: (548, 157, 833, 642), Centroids: 690.5
Tracker ID: 1, Class: spoon,  Coordinates: (416, 568, 577, 629), Centroids: 496.5
Tracker ID: 4, Class: person,  Coordinates: (548, 157, 833, 642), Centroids: 690.5
Tracker ID: 5, Class: knife,  Coordinates: (264, 508, 471, 536), Centroids: 367.5
Tracker ID: 1, Class: spoon,  Coordinates: (417, 568, 576, 629), Centroids: 496.5
Tracker ID: 1, Class: spoon,  Coordinates: (417, 568, 576, 629), Centroids: 496.5
Tracker ID: 4, Class: person,  Coordinates: (546, 157, 834, 642), Centroids: 690.0
Tracker ID: 1, Class: spoon,  Coordinates: (417, 568, 576, 629), Centroids: 496.5
Tracker ID: 4, Class: person,  Coordinates: (546, 157, 834, 642), Centroids: 690.0
Tracker ID: 5, Class: knife,  Coordinates: (264, 508, 472, 537), Centroids: 368.0
Tracker ID: 1, Class: spoon,  Coordinates: (424, 569, 581, 629), Centroids: 502.5
Tracker ID: 1, Class: spoon,  Coordinates: (424, 569, 581, 629), Centroids: 502.5
Tracker ID: 4, Class: person,  Coordinates: (545, 157, 835, 641), Centroids: 690.0
Tracker ID: 1, Class: spoon,  Coordinates: (424, 569, 581, 629), Centroids: 502.5
Tracker ID: 4, Class: person,  Coordinates: (545, 157, 835, 641), Centroids: 690.0
Tracker ID: 5, Class: knife,  Coordinates: (266, 508, 470, 536), Centroids: 368.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 569, 583, 630), Centroids: 504.5
Tracker ID: 1, Class: spoon,  Coordinates: (426, 569, 583, 630), Centroids: 504.5
Tracker ID: 4, Class: person,  Coordinates: (544, 158, 836, 641), Centroids: 690.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 569, 583, 630), Centroids: 504.5
Tracker ID: 4, Class: person,  Coordinates: (544, 158, 836, 641), Centroids: 690.0
Tracker ID: 5, Class: knife,  Coordinates: (267, 507, 469, 536), Centroids: 368.0
Tracker ID: 1, Class: spoon,  Coordinates: (414, 553, 612, 630), Centroids: 513.0
Tracker ID: 1, Class: spoon,  Coordinates: (414, 553, 612, 630), Centroids: 513.0
Tracker ID: 4, Class: person,  Coordinates: (543, 159, 838, 640), Centroids: 690.5
Tracker ID: 1, Class: spoon,  Coordinates: (414, 553, 612, 630), Centroids: 513.0
Tracker ID: 4, Class: person,  Coordinates: (543, 159, 838, 640), Centroids: 690.5
Tracker ID: 5, Class: knife,  Coordinates: (267, 507, 469, 536), Centroids: 368.0
Tracker ID: 1, Class: spoon,  Coordinates: (413, 551, 616, 630), Centroids: 514.5
Tracker ID: 1, Class: spoon,  Coordinates: (413, 551, 616, 630), Centroids: 514.5
Tracker ID: 4, Class: person,  Coordinates: (542, 160, 838, 640), Centroids: 690.0
Tracker ID: 1, Class: spoon,  Coordinates: (413, 551, 616, 630), Centroids: 514.5
Tracker ID: 4, Class: person,  Coordinates: (542, 160, 838, 640), Centroids: 690.0
Tracker ID: 5, Class: knife,  Coordinates: (270, 508, 467, 536), Centroids: 368.5
Tracker ID: 4, Class: person,  Coordinates: (540, 161, 839, 639), Centroids: 689.5
Tracker ID: 4, Class: person,  Coordinates: (540, 161, 839, 639), Centroids: 689.5
Tracker ID: 5, Class: knife,  Coordinates: (271, 508, 468, 535), Centroids: 369.5
Tracker ID: 3, Class: scissors,  Coordinates: (212, 564, 421, 606), Centroids: 316.5
Tracker ID: 3, Class: scissors,  Coordinates: (212, 564, 421, 606), Centroids: 316.5
Tracker ID: 4, Class: person,  Coordinates: (538, 161, 840, 639), Centroids: 689.0
Tracker ID: 3, Class: scissors,  Coordinates: (212, 564, 421, 606), Centroids: 316.5
Tracker ID: 4, Class: person,  Coordinates: (538, 161, 840, 639), Centroids: 689.0
Tracker ID: 5, Class: knife,  Coordinates: (272, 509, 468, 535), Centroids: 370.0
Tracker ID: 3, Class: scissors,  Coordinates: (209, 565, 424, 608), Centroids: 316.5
Tracker ID: 3, Class: scissors,  Coordinates: (209, 565, 424, 608), Centroids: 316.5
Tracker ID: 4, Class: person,  Coordinates: (537, 159, 843, 641), Centroids: 690.0
Tracker ID: 3, Class: scissors,  Coordinates: (209, 565, 424, 608), Centroids: 316.5
Tracker ID: 4, Class: person,  Coordinates: (537, 159, 843, 641), Centroids: 690.0
Tracker ID: 5, Class: knife,  Coordinates: (272, 509, 468, 535), Centroids: 370.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 564, 424, 607), Centroids: 317.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 564, 424, 607), Centroids: 317.0
Tracker ID: 4, Class: person,  Coordinates: (536, 157, 845, 643), Centroids: 690.5
Tracker ID: 3, Class: scissors,  Coordinates: (210, 564, 424, 607), Centroids: 317.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 564, 424, 607), Centroids: 317.0
Tracker ID: 4, Class: person,  Coordinates: (535, 156, 847, 643), Centroids: 691.0
Tracker ID: 3, Class: scissors,  Coordinates: (208, 564, 427, 608), Centroids: 317.5
Tracker ID: 3, Class: scissors,  Coordinates: (208, 564, 427, 608), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (537, 155, 850, 644), Centroids: 693.5
Tracker ID: 3, Class: scissors,  Coordinates: (207, 563, 428, 608), Centroids: 317.5
Tracker ID: 3, Class: scissors,  Coordinates: (207, 563, 428, 608), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (539, 153, 853, 644), Centroids: 696.0
Tracker ID: 3, Class: scissors,  Coordinates: (207, 563, 428, 608), Centroids: 317.5
Tracker ID: 3, Class: scissors,  Coordinates: (207, 563, 428, 608), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (540, 152, 855, 644), Centroids: 697.5
Tracker ID: 3, Class: scissors,  Coordinates: (209, 563, 427, 608), Centroids: 318.0
Tracker ID: 3, Class: scissors,  Coordinates: (209, 563, 427, 608), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (541, 151, 856, 644), Centroids: 698.5
Tracker ID: 3, Class: scissors,  Coordinates: (209, 563, 427, 608), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (541, 151, 856, 644), Centroids: 698.5
Tracker ID: 5, Class: knife,  Coordinates: (266, 509, 470, 536), Centroids: 368.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 563, 426, 608), Centroids: 318.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 563, 426, 608), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (541, 150, 856, 644), Centroids: 698.5
Tracker ID: 3, Class: scissors,  Coordinates: (210, 563, 426, 608), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (541, 150, 856, 644), Centroids: 698.5
Tracker ID: 5, Class: knife,  Coordinates: (265, 509, 470, 537), Centroids: 367.5
Tracker ID: 3, Class: scissors,  Coordinates: (210, 563, 427, 608), Centroids: 318.5
Tracker ID: 3, Class: scissors,  Coordinates: (210, 563, 427, 608), Centroids: 318.5
Tracker ID: 4, Class: person,  Coordinates: (541, 146, 854, 634), Centroids: 697.5
Tracker ID: 3, Class: scissors,  Coordinates: (210, 563, 427, 608), Centroids: 318.5
Tracker ID: 4, Class: person,  Coordinates: (541, 146, 854, 634), Centroids: 697.5
Tracker ID: 5, Class: knife,  Coordinates: (265, 509, 470, 537), Centroids: 367.5
Tracker ID: 3, Class: scissors,  Coordinates: (207, 563, 429, 609), Centroids: 318.0
Tracker ID: 3, Class: scissors,  Coordinates: (207, 563, 429, 609), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (540, 151, 853, 640), Centroids: 696.5
Tracker ID: 3, Class: scissors,  Coordinates: (204, 563, 432, 610), Centroids: 318.0
Tracker ID: 3, Class: scissors,  Coordinates: (204, 563, 432, 610), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (540, 153, 853, 642), Centroids: 696.5
Tracker ID: 3, Class: scissors,  Coordinates: (206, 563, 431, 610), Centroids: 318.5
Tracker ID: 3, Class: scissors,  Coordinates: (206, 563, 431, 610), Centroids: 318.5
Tracker ID: 4, Class: person,  Coordinates: (540, 153, 853, 643), Centroids: 696.5
Tracker ID: 3, Class: scissors,  Coordinates: (208, 563, 429, 609), Centroids: 318.5
Tracker ID: 3, Class: scissors,  Coordinates: (208, 563, 429, 609), Centroids: 318.5
Tracker ID: 4, Class: person,  Coordinates: (535, 157, 849, 643), Centroids: 692.0
Tracker ID: 3, Class: scissors,  Coordinates: (208, 563, 429, 609), Centroids: 318.5
Tracker ID: 3, Class: scissors,  Coordinates: (208, 563, 429, 609), Centroids: 318.5
Tracker ID: 4, Class: person,  Coordinates: (532, 159, 846, 644), Centroids: 689.0
Tracker ID: 3, Class: scissors,  Coordinates: (207, 564, 428, 610), Centroids: 317.5
Tracker ID: 3, Class: scissors,  Coordinates: (207, 564, 428, 610), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (528, 158, 846, 644), Centroids: 687.0
Tracker ID: 3, Class: scissors,  Coordinates: (207, 564, 428, 610), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (528, 158, 846, 644), Centroids: 687.0
Tracker ID: 5, Class: knife,  Coordinates: (266, 508, 471, 536), Centroids: 368.5
Tracker ID: 3, Class: scissors,  Coordinates: (207, 564, 428, 610), Centroids: 317.5
Tracker ID: 3, Class: scissors,  Coordinates: (207, 564, 428, 610), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (527, 158, 846, 644), Centroids: 686.5
Tracker ID: 3, Class: scissors,  Coordinates: (207, 564, 428, 610), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (527, 158, 846, 644), Centroids: 686.5
Tracker ID: 5, Class: knife,  Coordinates: (267, 508, 471, 536), Centroids: 369.0
Tracker ID: 3, Class: scissors,  Coordinates: (207, 564, 428, 611), Centroids: 317.5
Tracker ID: 3, Class: scissors,  Coordinates: (207, 564, 428, 611), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (526, 158, 847, 644), Centroids: 686.5
Tracker ID: 3, Class: scissors,  Coordinates: (207, 564, 428, 611), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (526, 158, 847, 644), Centroids: 686.5
Tracker ID: 5, Class: knife,  Coordinates: (267, 507, 471, 535), Centroids: 369.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 565, 425, 610), Centroids: 317.5
Tracker ID: 3, Class: scissors,  Coordinates: (210, 565, 425, 610), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (519, 156, 843, 644), Centroids: 681.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 565, 425, 610), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (519, 156, 843, 644), Centroids: 681.0
Tracker ID: 5, Class: knife,  Coordinates: (267, 507, 472, 535), Centroids: 369.5
Tracker ID: 3, Class: scissors,  Coordinates: (211, 565, 424, 610), Centroids: 317.5
Tracker ID: 3, Class: scissors,  Coordinates: (211, 565, 424, 610), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (515, 156, 842, 644), Centroids: 678.5
Tracker ID: 3, Class: scissors,  Coordinates: (211, 565, 424, 610), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (515, 156, 842, 644), Centroids: 678.5
Tracker ID: 5, Class: knife,  Coordinates: (267, 507, 472, 535), Centroids: 369.5
Tracker ID: 3, Class: scissors,  Coordinates: (211, 566, 424, 610), Centroids: 317.5
Tracker ID: 3, Class: scissors,  Coordinates: (211, 566, 424, 610), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (507, 156, 838, 644), Centroids: 672.5
Tracker ID: 3, Class: scissors,  Coordinates: (211, 566, 424, 610), Centroids: 317.5
Tracker ID: 4, Class: person,  Coordinates: (507, 156, 838, 644), Centroids: 672.5
Tracker ID: 5, Class: knife,  Coordinates: (266, 507, 471, 535), Centroids: 368.5
Tracker ID: 3, Class: scissors,  Coordinates: (209, 565, 425, 610), Centroids: 317.0
Tracker ID: 3, Class: scissors,  Coordinates: (209, 565, 425, 610), Centroids: 317.0
Tracker ID: 4, Class: person,  Coordinates: (498, 158, 832, 642), Centroids: 665.0
Tracker ID: 3, Class: scissors,  Coordinates: (209, 565, 425, 610), Centroids: 317.0
Tracker ID: 4, Class: person,  Coordinates: (498, 158, 832, 642), Centroids: 665.0
Tracker ID: 5, Class: knife,  Coordinates: (264, 507, 473, 536), Centroids: 368.5
Tracker ID: 3, Class: scissors,  Coordinates: (209, 565, 425, 610), Centroids: 317.0
Tracker ID: 3, Class: scissors,  Coordinates: (209, 565, 425, 610), Centroids: 317.0
Tracker ID: 4, Class: person,  Coordinates: (493, 159, 831, 640), Centroids: 662.0
Tracker ID: 3, Class: scissors,  Coordinates: (209, 565, 425, 610), Centroids: 317.0
Tracker ID: 4, Class: person,  Coordinates: (493, 159, 831, 640), Centroids: 662.0
Tracker ID: 5, Class: knife,  Coordinates: (263, 507, 473, 536), Centroids: 368.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 565, 424, 610), Centroids: 317.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 565, 424, 610), Centroids: 317.0
Tracker ID: 4, Class: person,  Coordinates: (482, 159, 826, 642), Centroids: 654.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 565, 424, 610), Centroids: 317.0
Tracker ID: 4, Class: person,  Coordinates: (482, 159, 826, 642), Centroids: 654.0
Tracker ID: 5, Class: knife,  Coordinates: (263, 507, 473, 536), Centroids: 368.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 565, 424, 610), Centroids: 317.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 565, 424, 610), Centroids: 317.0
Tracker ID: 4, Class: person,  Coordinates: (471, 160, 822, 642), Centroids: 646.5
Tracker ID: 3, Class: scissors,  Coordinates: (210, 565, 424, 610), Centroids: 317.0
Tracker ID: 4, Class: person,  Coordinates: (471, 160, 822, 642), Centroids: 646.5
Tracker ID: 5, Class: knife,  Coordinates: (267, 508, 470, 536), Centroids: 368.5
Tracker ID: 3, Class: scissors,  Coordinates: (215, 566, 421, 608), Centroids: 318.0
Tracker ID: 3, Class: scissors,  Coordinates: (215, 566, 421, 608), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (462, 158, 822, 642), Centroids: 642.0
Tracker ID: 3, Class: scissors,  Coordinates: (215, 566, 421, 608), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (462, 158, 822, 642), Centroids: 642.0
Tracker ID: 5, Class: knife,  Coordinates: (267, 508, 470, 536), Centroids: 368.5
Tracker ID: 3, Class: scissors,  Coordinates: (217, 566, 420, 608), Centroids: 318.5
Tracker ID: 3, Class: scissors,  Coordinates: (217, 566, 420, 608), Centroids: 318.5
Tracker ID: 4, Class: person,  Coordinates: (457, 157, 824, 642), Centroids: 640.5
Tracker ID: 3, Class: scissors,  Coordinates: (217, 566, 420, 608), Centroids: 318.5
Tracker ID: 4, Class: person,  Coordinates: (457, 157, 824, 642), Centroids: 640.5
Tracker ID: 5, Class: knife,  Coordinates: (267, 508, 471, 536), Centroids: 369.0
Tracker ID: 3, Class: scissors,  Coordinates: (217, 567, 420, 608), Centroids: 318.5
Tracker ID: 3, Class: scissors,  Coordinates: (217, 567, 420, 608), Centroids: 318.5
Tracker ID: 4, Class: person,  Coordinates: (453, 155, 827, 643), Centroids: 640.0
Tracker ID: 3, Class: scissors,  Coordinates: (217, 567, 420, 608), Centroids: 318.5
Tracker ID: 4, Class: person,  Coordinates: (453, 155, 827, 643), Centroids: 640.0
Tracker ID: 5, Class: knife,  Coordinates: (267, 509, 472, 537), Centroids: 369.5
Tracker ID: 3, Class: scissors,  Coordinates: (215, 566, 421, 607), Centroids: 318.0
Tracker ID: 3, Class: scissors,  Coordinates: (215, 566, 421, 607), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (449, 155, 830, 643), Centroids: 639.5
Tracker ID: 3, Class: scissors,  Coordinates: (215, 566, 421, 607), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (449, 155, 830, 643), Centroids: 639.5
Tracker ID: 5, Class: knife,  Coordinates: (267, 509, 472, 537), Centroids: 369.5
Tracker ID: 3, Class: scissors,  Coordinates: (212, 566, 424, 608), Centroids: 318.0
Tracker ID: 3, Class: scissors,  Coordinates: (212, 566, 424, 608), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (446, 154, 831, 644), Centroids: 638.5
Tracker ID: 3, Class: scissors,  Coordinates: (212, 566, 424, 608), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (446, 154, 831, 644), Centroids: 638.5
Tracker ID: 5, Class: knife,  Coordinates: (267, 509, 472, 537), Centroids: 369.5
Tracker ID: 3, Class: scissors,  Coordinates: (209, 566, 425, 609), Centroids: 317.0
Tracker ID: 3, Class: scissors,  Coordinates: (209, 566, 425, 609), Centroids: 317.0
Tracker ID: 4, Class: person,  Coordinates: (442, 154, 832, 644), Centroids: 637.0
Tracker ID: 3, Class: scissors,  Coordinates: (208, 566, 426, 609), Centroids: 317.0
