Frame #: 3, Time: 64.0, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 644, 629), Centroids: (709.0, 882.5)
Frame #: 10, Time: 304.0, Tracker ID: 3, Class: knife,  Coordinates: (102, 524, 514, 624), Centroids: (359.0, 836.0)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 644, 629), Centroids: (706.0, 881.5)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 644, 629), Centroids: (706.0, 881.5)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (563, 0, 1246, 720), Centroids: (1186.0, 360.0)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 644, 629), Centroids: (706.0, 881.5)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (563, 0, 1246, 720), Centroids: (1186.0, 360.0)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 3, Class: knife,  Coordinates: (102, 523, 514, 624), Centroids: (359.0, 835.0)
Frame #: 12, Time: 368.1, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 644, 629), Centroids: (705.0, 881.5)
Frame #: 12, Time: 368.1, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 644, 629), Centroids: (705.0, 881.5)
Frame #: 12, Time: 368.1, Tracker ID: 2, Class: person,  Coordinates: (557, 0, 1245, 720), Centroids: (1179.5, 360.0)
Frame #: 12, Time: 368.1, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 644, 629), Centroids: (705.0, 881.5)
Frame #: 12, Time: 368.1, Tracker ID: 2, Class: person,  Coordinates: (557, 0, 1245, 720), Centroids: (1179.5, 360.0)
Frame #: 12, Time: 368.1, Tracker ID: 3, Class: knife,  Coordinates: (98, 523, 517, 626), Centroids: (356.5, 836.0)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 642, 629), Centroids: (705.0, 881.5)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 642, 629), Centroids: (705.0, 881.5)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (552, 0, 1244, 720), Centroids: (1174.0, 360.0)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 642, 629), Centroids: (705.0, 881.5)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (552, 0, 1244, 720), Centroids: (1174.0, 360.0)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 3, Class: knife,  Coordinates: (95, 523, 517, 626), Centroids: (353.5, 836.0)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 643, 629), Centroids: (706.5, 881.5)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 643, 629), Centroids: (706.5, 881.5)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (528, 0, 1230, 720), Centroids: (1143.0, 360.0)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 643, 629), Centroids: (706.5, 881.5)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (528, 0, 1230, 720), Centroids: (1143.0, 360.0)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 3, Class: knife,  Coordinates: (105, 520, 526, 622), Centroids: (368.0, 831.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (510, 0, 1224, 720), Centroids: (1122.0, 360.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (510, 0, 1224, 720), Centroids: (1122.0, 360.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 3, Class: knife,  Coordinates: (106, 515, 545, 620), Centroids: (378.5, 825.0)
Frame #: 16, Time: 496.1, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 645, 630), Centroids: (706.5, 882.0)
Frame #: 16, Time: 496.1, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 645, 630), Centroids: (706.5, 882.0)
Frame #: 16, Time: 496.1, Tracker ID: 2, Class: person,  Coordinates: (497, 0, 1222, 720), Centroids: (1108.0, 360.0)
Frame #: 16, Time: 496.1, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 645, 630), Centroids: (706.5, 882.0)
Frame #: 16, Time: 496.1, Tracker ID: 2, Class: person,  Coordinates: (497, 0, 1222, 720), Centroids: (1108.0, 360.0)
Frame #: 16, Time: 496.1, Tracker ID: 3, Class: knife,  Coordinates: (104, 512, 556, 618), Centroids: (382.0, 821.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 645, 630), Centroids: (705.5, 882.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 645, 630), Centroids: (705.5, 882.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 2, Class: person,  Coordinates: (480, 0, 1218, 720), Centroids: (1089.0, 360.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 645, 630), Centroids: (705.5, 882.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 2, Class: person,  Coordinates: (480, 0, 1218, 720), Centroids: (1089.0, 360.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 3, Class: knife,  Coordinates: (89, 512, 548, 620), Centroids: (363.0, 822.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 643, 630), Centroids: (705.5, 882.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 643, 630), Centroids: (705.5, 882.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (475, 0, 1223, 720), Centroids: (1086.5, 360.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 643, 630), Centroids: (705.5, 882.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (475, 0, 1223, 720), Centroids: (1086.5, 360.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 3, Class: knife,  Coordinates: (96, 515, 543, 619), Centroids: (367.5, 824.5)
Frame #: 19, Time: 592.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 641, 630), Centroids: (705.5, 883.0)
Frame #: 19, Time: 592.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 641, 630), Centroids: (705.5, 883.0)
Frame #: 19, Time: 592.0333333333334, Tracker ID: 2, Class: person,  Coordinates: (466, 1, 1224, 720), Centroids: (1078.0, 361.0)
Frame #: 19, Time: 592.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 641, 630), Centroids: (705.5, 883.0)
Frame #: 19, Time: 592.0333333333334, Tracker ID: 2, Class: person,  Coordinates: (466, 1, 1224, 720), Centroids: (1078.0, 361.0)
Frame #: 19, Time: 592.0333333333334, Tracker ID: 3, Class: knife,  Coordinates: (85, 510, 549, 618), Centroids: (359.5, 819.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 642, 630), Centroids: (706.0, 883.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 642, 630), Centroids: (706.0, 883.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 2, Class: person,  Coordinates: (455, 2, 1223, 720), Centroids: (1066.5, 362.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 642, 630), Centroids: (706.0, 883.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 2, Class: person,  Coordinates: (455, 2, 1223, 720), Centroids: (1066.5, 362.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 3, Class: knife,  Coordinates: (75, 508, 551, 620), Centroids: (350.5, 818.0)
Frame #: 21, Time: 672.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 569, 643, 630), Centroids: (706.5, 884.0)
Frame #: 21, Time: 672.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 569, 643, 630), Centroids: (706.5, 884.0)
Frame #: 21, Time: 672.0, Tracker ID: 2, Class: person,  Coordinates: (444, 0, 1225, 720), Centroids: (1056.5, 360.0)
Frame #: 21, Time: 672.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 569, 643, 630), Centroids: (706.5, 884.0)
Frame #: 21, Time: 672.0, Tracker ID: 2, Class: person,  Coordinates: (444, 0, 1225, 720), Centroids: (1056.5, 360.0)
Frame #: 21, Time: 672.0, Tracker ID: 3, Class: knife,  Coordinates: (76, 510, 548, 622), Centroids: (350.0, 821.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 1, Class: spoon,  Coordinates: (386, 568, 644, 630), Centroids: (708.0, 883.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 1, Class: spoon,  Coordinates: (386, 568, 644, 630), Centroids: (708.0, 883.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 2, Class: person,  Coordinates: (434, 0, 1226, 720), Centroids: (1047.0, 360.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 1, Class: spoon,  Coordinates: (386, 568, 644, 630), Centroids: (708.0, 883.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 2, Class: person,  Coordinates: (434, 0, 1226, 720), Centroids: (1047.0, 360.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 3, Class: knife,  Coordinates: (74, 510, 544, 622), Centroids: (346.0, 821.0)
Frame #: 23, Time: 736.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 645, 630), Centroids: (707.5, 883.0)
Frame #: 23, Time: 736.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 645, 630), Centroids: (707.5, 883.0)
Frame #: 23, Time: 736.0, Tracker ID: 2, Class: person,  Coordinates: (426, 0, 1228, 720), Centroids: (1040.0, 360.0)
Frame #: 23, Time: 736.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 645, 630), Centroids: (707.5, 883.0)
Frame #: 23, Time: 736.0, Tracker ID: 2, Class: person,  Coordinates: (426, 0, 1228, 720), Centroids: (1040.0, 360.0)
Frame #: 23, Time: 736.0, Tracker ID: 3, Class: knife,  Coordinates: (66, 510, 513, 618), Centroids: (322.5, 819.0)
Frame #: 24, Time: 768.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 630), Centroids: (709.0, 882.0)
Frame #: 24, Time: 768.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 630), Centroids: (709.0, 882.0)
Frame #: 24, Time: 768.1, Tracker ID: 2, Class: person,  Coordinates: (418, 0, 1230, 720), Centroids: (1033.0, 360.0)
Frame #: 24, Time: 768.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 630), Centroids: (709.0, 882.0)
Frame #: 24, Time: 768.1, Tracker ID: 2, Class: person,  Coordinates: (418, 0, 1230, 720), Centroids: (1033.0, 360.0)
Frame #: 24, Time: 768.1, Tracker ID: 3, Class: knife,  Coordinates: (64, 511, 498, 617), Centroids: (313.0, 819.5)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 631), Centroids: (709.0, 882.5)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 631), Centroids: (709.0, 882.5)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 2, Class: person,  Coordinates: (412, 0, 1233, 720), Centroids: (1028.5, 360.0)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 631), Centroids: (709.0, 882.5)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 2, Class: person,  Coordinates: (412, 0, 1233, 720), Centroids: (1028.5, 360.0)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 3, Class: knife,  Coordinates: (69, 512, 489, 615), Centroids: (313.5, 819.5)
Frame #: 26, Time: 848.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 647, 631), Centroids: (708.5, 882.5)
Frame #: 26, Time: 848.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 647, 631), Centroids: (708.5, 882.5)
Frame #: 26, Time: 848.1, Tracker ID: 2, Class: person,  Coordinates: (404, 0, 1235, 720), Centroids: (1021.5, 360.0)
Frame #: 26, Time: 848.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 647, 631), Centroids: (708.5, 882.5)
Frame #: 26, Time: 848.1, Tracker ID: 2, Class: person,  Coordinates: (404, 0, 1235, 720), Centroids: (1021.5, 360.0)
Frame #: 26, Time: 848.1, Tracker ID: 3, Class: knife,  Coordinates: (73, 512, 483, 613), Centroids: (314.5, 818.5)
Frame #: 27, Time: 880.2333333333335, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 645, 630), Centroids: (708.5, 882.0)
Frame #: 27, Time: 880.2333333333335, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 645, 630), Centroids: (708.5, 882.0)
Frame #: 27, Time: 880.2333333333335, Tracker ID: 2, Class: person,  Coordinates: (389, 0, 1230, 720), Centroids: (1004.0, 360.0)
Frame #: 27, Time: 880.2333333333335, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 645, 630), Centroids: (708.5, 882.0)
Frame #: 27, Time: 880.2333333333335, Tracker ID: 2, Class: person,  Coordinates: (389, 0, 1230, 720), Centroids: (1004.0, 360.0)
Frame #: 27, Time: 880.2333333333335, Tracker ID: 3, Class: knife,  Coordinates: (71, 510, 481, 612), Centroids: (311.5, 816.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 644, 630), Centroids: (708.0, 882.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 644, 630), Centroids: (708.0, 882.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (383, 0, 1232, 720), Centroids: (999.0, 360.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 644, 630), Centroids: (708.0, 882.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (383, 0, 1232, 720), Centroids: (999.0, 360.0)
Frame #: 28, Time: 912.1333333333333, Tracker ID: 3, Class: knife,  Coordinates: (65, 509, 487, 615), Centroids: (308.5, 816.5)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 2, Class: person,  Coordinates: (389, 0, 1244, 720), Centroids: (1011.0, 360.0)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 2, Class: person,  Coordinates: (389, 0, 1244, 720), Centroids: (1011.0, 360.0)
Frame #: 29, Time: 944.0666666666667, Tracker ID: 3, Class: knife,  Coordinates: (58, 507, 497, 619), Centroids: (306.5, 816.5)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (387, 567, 645, 630), Centroids: (709.5, 882.0)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (387, 567, 645, 630), Centroids: (709.5, 882.0)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 2, Class: person,  Coordinates: (392, 0, 1252, 720), Centroids: (1018.0, 360.0)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (387, 567, 645, 630), Centroids: (709.5, 882.0)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 2, Class: person,  Coordinates: (392, 0, 1252, 720), Centroids: (1018.0, 360.0)
Frame #: 30, Time: 992.0333333333334, Tracker ID: 3, Class: knife,  Coordinates: (63, 505, 491, 615), Centroids: (308.5, 812.5)
Frame #: 31, Time: 1024.0, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 645, 630), Centroids: (709.5, 883.0)
Frame #: 31, Time: 1024.0, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 645, 630), Centroids: (709.5, 883.0)
Frame #: 31, Time: 1024.0, Tracker ID: 2, Class: person,  Coordinates: (388, 0, 1253, 720), Centroids: (1014.5, 360.0)
Frame #: 31, Time: 1024.0, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 645, 630), Centroids: (709.5, 883.0)
Frame #: 31, Time: 1024.0, Tracker ID: 2, Class: person,  Coordinates: (388, 0, 1253, 720), Centroids: (1014.5, 360.0)
Frame #: 31, Time: 1024.0, Tracker ID: 3, Class: knife,  Coordinates: (73, 499, 484, 605), Centroids: (315.0, 801.5)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 643, 630), Centroids: (708.5, 883.0)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 643, 630), Centroids: (708.5, 883.0)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 2, Class: person,  Coordinates: (399, 0, 1265, 720), Centroids: (1031.5, 360.0)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 643, 630), Centroids: (708.5, 883.0)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 2, Class: person,  Coordinates: (399, 0, 1265, 720), Centroids: (1031.5, 360.0)
Frame #: 32, Time: 1056.0333333333333, Tracker ID: 3, Class: knife,  Coordinates: (72, 497, 482, 604), Centroids: (313.0, 799.0)
Frame #: 33, Time: 1088.1000000000001, Tracker ID: 1, Class: spoon,  Coordinates: (387, 569, 645, 630), Centroids: (709.5, 884.0)
Frame #: 33, Time: 1088.1000000000001, Tracker ID: 1, Class: spoon,  Coordinates: (387, 569, 645, 630), Centroids: (709.5, 884.0)
Frame #: 33, Time: 1088.1000000000001, Tracker ID: 2, Class: person,  Coordinates: (402, 0, 1270, 720), Centroids: (1037.0, 360.0)
Frame #: 34, Time: 1136.1333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (387, 569, 645, 630), Centroids: (709.5, 884.0)
Frame #: 34, Time: 1136.1333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (387, 569, 645, 630), Centroids: (709.5, 884.0)
Frame #: 34, Time: 1136.1333333333334, Tracker ID: 2, Class: person,  Coordinates: (409, 0, 1277, 720), Centroids: (1047.5, 360.0)
Frame #: 35, Time: 1168.0666666666668, Tracker ID: 1, Class: spoon,  Coordinates: (384, 568, 648, 631), Centroids: (708.0, 883.5)
Frame #: 35, Time: 1168.0666666666668, Tracker ID: 1, Class: spoon,  Coordinates: (384, 568, 648, 631), Centroids: (708.0, 883.5)
Frame #: 35, Time: 1168.0666666666668, Tracker ID: 2, Class: person,  Coordinates: (413, 0, 1280, 720), Centroids: (1053.0, 360.0)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (384, 568, 647, 631), Centroids: (707.5, 883.5)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (384, 568, 647, 631), Centroids: (707.5, 883.5)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 2, Class: person,  Coordinates: (419, 0, 1285, 720), Centroids: (1061.5, 360.0)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (384, 568, 647, 631), Centroids: (707.5, 883.5)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 2, Class: person,  Coordinates: (419, 0, 1285, 720), Centroids: (1061.5, 360.0)
Frame #: 36, Time: 1200.1333333333334, Tracker ID: 9, Class: knife,  Coordinates: (93, 521, 373, 592), Centroids: (279.5, 817.0)
Frame #: 37, Time: 1232.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 646, 631), Centroids: (708.0, 883.5)
Frame #: 37, Time: 1232.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 646, 631), Centroids: (708.0, 883.5)
